area_en,project_name_en,project_name_ar,area_ar,area_id,nearest_landmark_en,nearest_landmark_ar,nearest_metro_en,nearest_metro_ar,nearest_mall_en,nearest_mall_ar,master_project_en,master_project_ar,latitude,longitude
AL Athbah,,,العذبة,0,,,,,,,,,,
AL BARARI,SEVENTH HEAVEN,سفنث هفن,البراري,0,IMG World Adventures,آي إم جي وورلد أدفينتشرز,Noor Bank Metro Station,محطة مترو نور بنك,,,,,,
AL FURJAN,EQUITI ARCADE,ايكويتي اركيد,الفرجان,0,Expo 2020 Site,موقع إكسبو 2020,Ibn Battuta Metro Station,محطة مترو ابن بطوطة,Ibn-e-Battuta Mall,ابن بطوطة مول,Jebel Ali Village Townhouses- Phase 1,قرية جبل علي تاون هاوسز- المرحلة 1,,
AL KHAIL HEIGHTS,AL KHAIL HEIGHTS,الخيل هايتس,الخيل هايتس,0,Downtown Dubai,وسط مدينة دبي,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
AL WAHA,SIENNA  LAKES,سينا ليكس,الواحة,0,Dubai Cycling Course,دورة دبي للدراجات,,,,,,,,
ARABIAN RANCHES I,ASEEL,أصيل,المرابع العربية I,0,Global Village,قرية عالمية,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
ARABIAN RANCHES II,ARABIAN RANCHES - RASHA COMMUNITY,المرابع العربية - رشا كومينتى,المرابع العربية II,0,Motor City,موتور سيتي,,,,,,,,
ARABIAN RANCHES III,Arabian Ranches lll - Ruba, المرابع العربية ااا- ربى,المرابع العربية III,0,Hamdan Sports Complex,مجمع حمدان الرياضي,,,,,,,,
ARABIAN RANCHES POLO CLUB,POLO HOMES,منازل بولو,المرابع العربية - بولو كلوب,0,Motor City,موتور سيتي,,,,,,,,
ARJAN,Adhara Star, أدهارا ستار,ارجان,0,Motor City,موتور سيتي,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,Remraam - Al Ramth,رمرام - الرمث,,
Abu Hail,,,ابو هيل,0,Dubai International Airport,مطار دبي الدولي,Abu Baker Al Siddique Metro Station,محطة مترو أبو بكر الصديق,,,,,,
Al Aweer First,,,العوير الأولى,0,,,,,,,,,,
Al Aweer Second,,,العوير الثانية,0,,,,,,,,,,
Al Bada,,,البدع,0,Burj Khalifa,برج خليفة,Trade Centre Metro Station,محطة مترو المركز التجاري,Dubai Mall,مول دبي,,,,
Al Baraha,,,البراحه,0,Dubai International Airport,مطار دبي الدولي,Salah Al Din Metro Station,محطة مترو صلاح الدين,Dubai Mall,مول دبي,,,,
Al Barsha First,,,البرشاء الاولى,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Barsha Second,,,البرشاء الثانيه,0,Burj Al Arab,برج العرب,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
Al Barsha Third,,,البرشاء الثالثه,0,Burj Al Arab,برج العرب,Dubai Internet City,مدينة دبي للإنترنت,Mall of the Emirates,مول الإمارات,,,,
Al Barshaa South First,,,البرشاء جنوب الاولى,0,Motor City,موتور سيتي,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Barshaa South Second,,,البرشاء جنوب الثانية,0,Motor City,موتور سيتي,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
Al Barshaa South Third,ORION BUILDING,بناية اوريون,البرشاء جنوب الثالثة,0,Motor City,موتور سيتي,Sharaf Dg Metro Station,محطة مترو شرف دي جي,Mall of the Emirates,مول الإمارات,,,,
Al Buteen,,,البطين,0,Dubai International Airport,مطار دبي الدولي,Al Ras Metro Station,محطة مترو الراس,Dubai Mall,مول دبي,,,,
Al Dhagaya,,,الضغايه,0,Dubai International Airport,مطار دبي الدولي,Palm Deira Metro Stations,محطات مترو نخلة ديرة,Dubai Mall,مول دبي,,,,
Al Eyas,,,العياص,0,,,,,,,,,,
Al Garhoud,,,القرهود,0,Dubai International Airport,مطار دبي الدولي,Airport Terminal 1 Metro Station,محطة مترو مبنى المطار رقم 1,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Goze First,,,القوز الاولى,0,Downtown Dubai,وسط مدينة دبي,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
Al Goze Fourth,,,القوز الرابعه,0,Downtown Dubai,وسط مدينة دبي,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
Al Goze Industrial First,,,القوز الصناعيه الاولى,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Goze Industrial Fourth,,,القوز الصناعيه الرابعه,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Goze Industrial Second,,,القوز الصناعيه الثانيه,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Goze Industrial Third,,,القوز الصناعيه الثالثه,0,Burj Al Arab,برج العرب,First Abu Dhabi Bank Metro Station,محطة مترو بنك أبوظبي الأول,Mall of the Emirates,مول الإمارات,,,,
Al Goze Third,,,القوز الثالثه,0,Downtown Dubai,وسط مدينة دبي,Noor Bank Metro Station,محطة مترو نور بنك,Dubai Mall,مول دبي,,,,
Al Hamriya,,,الحمريه,0,Dubai International Airport,مطار دبي الدولي,Al Fahidi Metro Station,محطة مترو الفهيدي,Dubai Mall,مول دبي,,,,
Al Hebiah Fifth,DAMAC LAGOONS - MALTA (1),داماك لاجونز - مالتا (1),الحبيه الخامسة,0,,,,,,,,,,
Al Hebiah Fourth,Alicante villas,فلل اليكانتي,الحبيه الرابعة,0,,,,,,,,,,
Al Hebiah Second,,,الحبيه الثانية,0,,,,,,,,,,
Al Hebiah Sixth,Mudon Al Ranim 8,مدن الرنيم 8,الحبيه السادسة,0,,,,,,,,,,
Al Hebiah Third,DAMAC HILLS-BEL AIR,داماك هيلز-بلير,الحبية الثالثة,0,,,,,,,,,,
Al Hudaiba,,,الحضيبه,0,Burj Khalifa,برج خليفة,Trade Centre Metro Station,محطة مترو المركز التجاري,Dubai Mall,مول دبي,,,,
Al Jadaf,Keturah Resort,منتجع كتوراه,الجداف,0,,,,,,,,,,
Al Jafliya,,,الجافليه,0,Burj Khalifa,برج خليفة,Al Jafiliya Metro Station,محطة مترو الجافلية,Dubai Mall,مول دبي,,,,
Al Karama,,,الكرامه,0,Dubai International Airport,مطار دبي الدولي,Burjuman Metro Station,محطة مترو برجمان,Dubai Mall,مول دبي,,,,
Al Khabeesi,,,الخبيصى,0,Dubai International Airport,مطار دبي الدولي,Deira City Centre,ديرة سيتي سنتر,Dubai Mall,مول دبي,,,,
Al Khairan First,Oria,اوريا,الخيران الأولى,0,Dubai International Airport,مطار دبي الدولي,Creek Metro Station,محطة مترو الخور,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Khawaneej First,,,الخوانيج الأولى,0,,,Etisalat Metro Station,محطة مترو اتصالات,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Khawaneej Second,,,الخوانيج الثانية,0,,,,,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Kheeran,,,الخيران,0,Dubai International Airport,مطار دبي الدولي,Emirates Metro Station,محطة مترو الامارات,City Centre Mirdif,سيتي سنتر مردف,,,,
Al Kifaf,Park Views Residences B, B بارك فيوز ريزيدنسيز ,الكفاف,0,Burj Khalifa,برج خليفة,Al Jafiliya Metro Station,محطة مترو الجافلية,Dubai Mall,مول دبي,,,,
Al Lusaily,,,اللسيلى,0,,,,,,,,,,
Al Mamzer,,,الممزر,0,Dubai International Airport,مطار دبي الدولي,STADIUM Metro Station,محطة مترو الاستاد,City Centre Mirdif,سيتي سنتر مردف,,,,
