area_en,Al Makhtoum International Airport,Burj Al Arab,Burj Khalifa,City Centre Mirdif,Downtown Dubai,Dubai International Airport,Dubai Mall,Dubai Parks and Resorts,Expo 2020 Site,Global Village,Hamdan Sports Complex,IMG World Adventures,Ibn-e-Battuta Mall,Jabel Ali,Mall of the Emirates,Marina Mall,Motor City,center,east,north,south,west
AL Athbah,46.18840957085455,29.664620139873602,20.346369564026894,7.7521837249516805,19.938341441676638,13.305281685705673,19.86248411403499,55.605163090420454,40.2273626693847,21.449200735925324,21.860730136585442,19.494022588678725,39.11037923324338,38.94025488210408,28.654471518981175,35.90185050542205,28.456127671451508,20.01236410412763,22.088216467680017,31.540801307336803,42.74374870320182,48.069294671560215
AL BARARI,30.608015904022302,13.874654323575031,9.8878931462819,13.967627975612858,9.479825214415602,15.487226300611667,9.667132071865888,38.468517364416556,23.54939915127705,5.751130398260018,7.5415044100254995,4.038670820802118,21.82953766352454,21.69724001477628,12.136676633450644,18.78571031831823,11.49348242270655,16.937360162171966,38.05578792419244,31.67819211720335,30.334564824621864,32.49564847784325
AL FURJAN,16.064378000933896,12.770849518218892,22.218299517363683,33.01958017675084,22.23077564156237,32.69968337094071,22.490893752079945,18.99111998692725,7.10540668277779,16.145211249446078,16.86520147018113,17.83253034923081,3.580408459681698,2.159190597403445,11.196519274407295,5.384515837222134,8.870942836803343,30.505666378236423,57.37832372639558,42.763386745076744,23.317601761012,20.289245576881573
AL KHAIL HEIGHTS,31.480353164806484,7.061189067725309,5.019337991658609,16.88562758527018,4.972221753887568,15.544247295445205,5.2378290147524655,36.02701815952895,23.115176549036107,11.06563222597204,13.332578466204641,10.51418858350132,18.25835596467425,19.43418312084639,6.601045588964334,14.372556723025992,12.128503751099267,13.519922456359893,40.97569464335332,27.19661580913002,34.0498020486659,25.542224178100238
AL WAHA,20.449809519890643,16.02377831941171,18.662505077490078,24.194025420956628,18.38901749386089,26.026433670600625,18.639429645236252,30.478593499168376,14.6233129160227,4.849088622879963,4.041182925342903,6.812898161567759,16.75638321741316,14.979051849856733,13.333965503488034,15.624522934805274,5.201826696471799,26.777237398166946,47.637899618465305,41.22500171837586,20.026250470098294,31.745064393975102
ARABIAN RANCHES I,21.133298295193597,13.18971461407058,16.502626221720263,23.443630057827434,16.271386789381815,24.689373769199783,16.531144016565026,29.74579082629566,14.2738199308105,4.562113360013994,5.12355737972645,6.478113265139057,14.813710723096312,13.535727942986043,10.498337345403563,13.211742419351715,2.931716919127285,24.821039768209882,47.356532812327366,39.058020235529106,22.101832418703488,29.17445217324203
ARABIAN RANCHES II,20.128088860406297,14.825209586974273,18.08456313141825,24.398149636878568,17.837724544899864,25.93530934136425,18.09439895439594,29.559961030008065,13.818881738710603,5.097609108362384,4.8760777744400094,7.1042465877012315,15.457797587736822,13.799154982465726,12.126215280220109,14.259381596586692,3.8343106962684375,26.335065455649538,48.082609047290205,40.65459385995129,20.5067393683411,30.378122917624093
ARABIAN RANCHES III,24.37860118932907,16.709208307583935,16.820287329035935,20.544767350430114,16.475217934222403,22.862472718240472,16.700354634657575,34.430000698911314,18.634116372030416,2.2672839995472445,4.485499219929568e-12,3.502990586679978,19.93646092468912,18.569142432674163,14.181740258235193,18.17298698423831,8.055163981032809,24.409304291485622,43.69451155400408,39.09703663552307,22.879968281646345,33.864814742972094
ARABIAN RANCHES POLO CLUB,19.36562398074796,13.460071872235599,17.864753108880716,25.260120397133495,17.66336083116069,26.392743461221716,17.927550057962975,27.965481777565063,12.435661865349372,6.365227712041431,6.637083983106614,8.307377670980209,13.487826815614964,11.934180778713667,10.763070456188679,12.313615768310688,1.9548858940893408,26.27432151250957,49.197722965291895,40.34999370475141,20.902212050921975,28.472990000205126
ARJAN,20.524062669757235,10.711483968936212,16.05222303659104,24.783435271771015,15.90620576602073,25.324200690417232,16.17508244836768,27.53980665539248,12.729905549161252,7.2207718265093055,8.255061370729106,8.865355670336095,11.76983083023543,10.907729960900607,8.025481124242393,9.974653127967583,1.0273389864338784,24.558654398605757,49.004719666746546,38.3140766008733,23.241277051963028,25.960271037489047
Abu Hail,47.65164445569271,21.614880187246673,11.323872435906962,10.96737020255123,11.362685727897919,5.2858300012900585,11.095324363136118,51.935233646055906,39.43289901724141,24.261460600395026,26.146184190164227,22.64322557980703,34.07479407793375,35.64716045717506,22.42398808297227,29.966525208546205,28.028490730304743,3.40587953985235,28.16600072496386,13.985690555579497,48.84534463138749,36.37671628452673
Al Aweer First,55.18156187709287,40.1577632949215,30.59733321016038,17.251628084554838,30.211674704132516,21.985762774689388,30.112712630724314,65.55961152817683,49.91782841693881,31.252153190571722,31.30129002410191,29.38407069782538,49.43568245602466,49.07288807965015,39.14561905457805,46.32830670816033,38.452193273041836,28.87867488858521,16.22453702415465,37.78048385383482,50.256565194100396,58.500773470990204
Al Aweer Second,50.93260596100766,37.14641397409504,28.16649685308759,15.460188013840051,27.750379305090586,20.771119363708884,27.68393579620537,61.62392919688913,45.88348745578044,27.346737020559978,27.249478773722828,25.538064880292545,45.82974908884813,45.28470155577666,35.932609799106174,42.88732090147983,34.60856708348021,27.618408977205068,20.23472590739044,38.012614542325124,45.856717329087616,55.69498280576226
Al Bada,36.471918148149925,10.868192816680175,1.9200619715002115e-12,13.569439016752753,0.4691152595425402,11.063499823693387,0.4848316790925596,40.80300930373493,28.13441489677493,14.639051266158171,16.82028732903762,13.528514912801883,22.957381207725874,24.355594160750165,11.229357152454064,18.933147833438476,16.995496054596746,8.520461368427235,36.91805173665125,22.57265815087697,38.590622540981144,28.078462690980835
Al Baraha,46.79558642373272,20.573052683209173,10.391978997533606,11.300779858822589,10.4561807737916,5.645496545354725,10.187296026932952,50.913945719378326,38.523718505803316,23.634029182186104,25.56361927881916,22.063839021613937,33.05692376459059,34.67189771245303,21.42928042494229,28.93987398699004,27.201827283319894,2.31244662829498,29.218026463579896,14.138483053323911,48.18264011817846,35.29002707805581
Al Barsha First,24.895680717450247,4.0252836745590095,12.569470232330731,24.316503236360226,12.616386455014503,23.30879234616012,12.870059584911655,28.27105301716172,16.11839983271538,11.717798617537813,13.562880361180378,12.5069180101066,10.49898038874152,11.821714685076577,1.5795102370022711,6.733592628045476,7.725750699437791,20.795380671146955,48.58824217407375,33.35286284357961,29.485020017753744,20.540203030232824
Al Barsha Second,28.503463104145293,4.482191925415345e-12,10.868192816685434,23.860076810806532,11.05720714004042,21.930711208330074,11.270685300050024,30.388637499773196,19.597370967616474,14.650380666183324,16.70920830759111,15.015031516066703,12.592995938469581,14.728764785920292,2.702373369823937,8.427211535022384,11.691531997395881,18.375309448727435,47.719545235652284,29.99480821291098,33.497400088500754,18.686384686231477
Al Barsha Third,28.503463104145293,4.482191925415345e-12,10.868192816685434,23.860076810806532,11.05720714004042,21.930711208330074,11.270685300050024,30.388637499773196,19.597370967616474,14.650380666183324,16.70920830759111,15.015031516066703,12.592995938469581,14.728764785920292,2.702373369823937,8.427211535022384,11.691531997395881,18.375309448727435,47.719545235652284,29.99480821291098,33.497400088500754,18.686384686231477
Al Barshaa South First,19.27771176912027,12.37649326903992,17.50568566327913,25.61274923555149,17.336417984223228,26.456177520443852,17.60386946147495,27.148235418009648,11.884463012757147,7.190489680445068,7.7596047500961385,9.039098645915884,12.227802592362877,10.85832495532643,9.698746750720444,10.959672776529365,0.6861044949222573,25.983342512422887,49.699286829762165,39.868591994556056,21.58064211082019,27.118381735856996
