area_en,latitude,longitude
AL BARARI,25.118865,55.3209685
AL FURJAN,25.0304736,55.1522307
AL KHAIL HEIGHTS,25.155860150000002,55.2536875439334
ARABIAN RANCHES I,25.04875135,55.267288518151844
ARABIAN RANCHES II,25.03439685,55.27332788354515
ARABIAN RANCHES III,25.051092949999997,55.31808411322436
ARABIAN RANCHES POLO CLUB,25.037414249999998,55.25395447616396
ARJAN,25.0567785,55.23637449799419
Abu Hail,25.2860287,55.328865
Al Bada,25.197033599999997,55.27413294647308
Al Baraha,25.2809884,55.3195255
Al Barsha First,25.1071127,55.1984575
Al Barsha Second,25.141327099999998,55.18539672753495
Al Barsha Third,25.141327099999998,55.18539672753495
Al Barshaa South First,25.0423709,55.2416609
Al Barshaa South Second,25.0423709,55.2416609
Al Barshaa South Third,25.0423709,55.2416609
Al Buteen,25.2595231,55.3195095
Al Dhagaya,25.2726408,55.3002405
Al Eyas,25.2113092,55.5377768
Al Garhoud,25.2407367,55.3520393
Al Goze First,25.19475815,55.27805910442858
Al Goze Fourth,25.19475815,55.27805910442858
Al Goze Industrial First,25.141327099999998,55.18539672753495
Al Goze Industrial Fourth,25.141327099999998,55.18539672753495
Al Goze Industrial Second,25.141327099999998,55.18539672753495
Al Goze Industrial Third,25.141327099999998,55.18539672753495
Al Goze Third,25.19475815,55.27805910442858
Al Hamriya,25.2599297,55.3031938
Al Hudaiba,25.2428328,55.279212
Al Jadaf,25.2249103,55.3337479
Al Jafliya,25.216522,55.2644949
Al Karama,25.2482136,55.3050609
Al Khabeesi,25.26610755,55.327714764160746
Al Khairan First,25.2521287,55.365715576690505
Al Khawaneej First,25.2173429,55.4071287
Al Khawaneej Second,25.2173429,55.4071287
Al Kheeran,24.44418755,54.45712945710038
Al Kifaf,25.2346273,55.298597312379904
Al Lusaily,24.4330113,54.5496199
Al Mamzer,25.3005332,55.3596332
Al Manara,25.1448185,55.2144527
Al Mararr,25.2766379,55.3089094
Al Merkadh,25.169213,55.2924727
Al Mizhar First,25.2521287,55.365715576690505
Al Mizhar Second,25.2521287,55.365715576690505
Al Mizhar Third,25.2521287,55.365715576690505
Al Murqabat,25.2655388,55.3225135
Al Muteena,25.2700926,55.3106648
Al Nahda First,25.2521287,55.365715576690505
Al Nahda Second,25.2521287,55.365715576690505
Al Qusais First,25.2521287,55.365715576690505
Al Qusais Industrial Fifth,25.2521287,55.365715576690505
Al Qusais Industrial First,25.2521287,55.365715576690505
Al Qusais Industrial Fourth,25.2521287,55.365715576690505
Al Qusais Industrial Second,25.2521287,55.365715576690505
Al Qusais Industrial Third,25.3260017,55.4331454
Al Qusais Second,25.2521287,55.365715576690505
Al Raffa,25.2542057,55.2879667
Al Ras,25.2687742,55.2936231
Al Rashidiya,25.222025,55.3910064
Al Rega,25.2521287,55.365715576690505
Al Sabkha,25.2692256,55.3024936
Al Saffa First,25.197033599999997,55.27413294647308
Al Saffa Second,25.141327099999998,55.18539672753495
Al Safouh First,25.141327099999998,55.18539672753495
Al Satwa,25.2208602,55.2737617
Al Suq Al Kabeer,25.2639134044859,55.29226263640029
Al Thanyah Third,25.082107885888746,55.17303192330879
Al Ttay,25.2321563,55.5563174
Al Twar First,25.2521287,55.365715576690505
Al Twar Fourth,25.2521287,55.365715576690505
Al Twar Second,25.27122485,55.364130332632215
Al Twar Third,25.2521287,55.365715576690505
Al Waheda,25.2915387,55.3373622
Al Warqa First,25.2521287,55.365715576690505
Al Warqa Fourth,25.2521287,55.365715576690505
Al Warqa Second,25.2521287,55.365715576690505
Al Warqa Third,25.190661,55.4227553522109
Al Warsan Second,25.2295959,55.3914898
Al Wasl,25.1959326,55.2557371
Al Yelayiss 1,25.0164904,55.3111582
Al Yelayiss 2,24.9982628,55.2867437907612
Al Yelayiss 5,24.9707278,55.265407
Al Yufrah 1,25.0029883,55.4387395
BARSHA HEIGHTS,25.0982842,55.1757823
BLUEWATERS,25.07954805,55.12170421845323
BURJ KHALIFA,25.197033599999997,55.27413294647308
BUSINESS BAY,25.18942655,55.26481901527489
Bukadra,25.1765148,55.3257751
Business Bay,25.18942655,55.26481901527489
CHERRYWOODS,25.016004449999997,55.2909518531374
CITY OF ARABIA,25.0924395,55.336933
CITY WALK,25.2081589,55.26187365641171
DAMAC HILLS,25.0264384,55.251228
DISCOVERY GARDENS,25.0352571,55.1454134
DMCC-EZ2,25.0708766,55.1387113
DOWN TOWN JABAL ALI,24.966807,55.15825718982431
DUBAI CREEK HARBOUR,25.197978,55.36037960558315
DUBAI DESIGN DISTRICT,25.188132,55.29744343116474
DUBAI GOLF CITY,25.01130525,55.23426739724147
DUBAI HARBOUR,25.095618799999997,55.13800090659106
DUBAI HEALTHCARE CITY - PHASE 1,25.23181945,55.32250393537943
DUBAI HEALTHCARE CITY - PHASE 2,25.23181945,55.32250393537943
DUBAI HILLS,25.0974142,55.2684401
DUBAI INDUSTRIAL CITY,24.8399006,55.0662934
DUBAI INTERNATIONAL ACADEMIC CITY,25.107765800000003,55.401610732905894
DUBAI INVESTMENT PARK FIRST,24.966807,55.15825718982431
DUBAI INVESTMENT PARK SECOND,24.98204425,55.1964194133587
DUBAI LAND RESIDENCE COMPLEX,25.0853591,55.382978
DUBAI LIFESTYLE CITY,25.04260265,55.28216284609378
DUBAI MARINA,25.0786415,55.1352524
DUBAI MARITIME CITY,25.262151,55.26537042587559
DUBAI PRODUCTION CITY,25.032132400000002,55.191307014071384
DUBAI SCIENCE PARK,25.068451596904335,55.245708496699365
DUBAI SOUTH,24.9144391,55.1615128
DUBAI SPORTS CITY,25.0321379,55.219353
DUBAI STUDIO CITY,25.0415641,55.2522587
DUBAI WATER CANAL,25.1884394,55.2473226
DUBAI WATER FRONT,24.9198548,55.00868
Dubai International Airport,25.2521287,55.365715576690505
Dubai Investment Park Second,24.98204425,55.1964194133587
EMAAR SOUTH,24.8649069,55.14376334914999
EMIRATE LIVING,25.0639869,55.1645849
