,area_en,type,name,distance_km
0,AL BARARI,landmark,IMG World Adventures,4.038670820802118
1,AL BARARI,landmark,Dubai International Airport,15.487226300611667
2,AL BARARI,landmark,Downtown Dubai,9.479825214415602
3,AL BARARI,landmark,Motor City,11.49348242270655
4,AL BARARI,landmark,Burj Al Arab,13.874654323575031
5,AL BARARI,landmark,Burj Khalifa,9.8878931462819
6,AL BARARI,landmark,Hamdan Sports Complex,7.5415044100254995
7,AL BARARI,landmark,Global Village,5.751130398260018
8,AL BARARI,landmark,Expo 2020 Site,23.54939915127705
9,AL BARARI,landmark,Al Makhtoum International Airport,30.608015904022302
10,AL BARARI,landmark,Dubai Parks and Resorts,38.468517364416556
11,AL BARARI,landmark,Jabel Ali,21.69724001477628
12,AL BARARI,mall,Mall of the Emirates,12.136676633450644
13,AL BARARI,mall,Marina Mall,18.78571031831823
14,AL BARARI,mall,Ibn-e-Battuta Mall,21.82953766352454
15,AL BARARI,mall,City Centre Mirdif,13.967627975612858
16,AL BARARI,mall,Dubai Mall,9.667132071865888
17,AL BARARI,extreme,north,31.67819211720335
18,AL BARARI,extreme,south,30.334564824621864
19,AL BARARI,extreme,east,38.05578792419244
20,AL BARARI,extreme,west,32.49564847784325
21,AL BARARI,extreme,center,16.937360162171966
22,AL FURJAN,landmark,IMG World Adventures,17.83253034923081
23,AL FURJAN,landmark,Dubai International Airport,32.69968337094071
24,AL FURJAN,landmark,Downtown Dubai,22.23077564156237
25,AL FURJAN,landmark,Motor City,8.870942836803343
26,AL FURJAN,landmark,Burj Al Arab,12.770849518218892
27,AL FURJAN,landmark,Burj Khalifa,22.218299517363683
28,AL FURJAN,landmark,Hamdan Sports Complex,16.86520147018113
29,AL FURJAN,landmark,Global Village,16.145211249446078
30,AL FURJAN,landmark,Expo 2020 Site,7.10540668277779
31,AL FURJAN,landmark,Al Makhtoum International Airport,16.064378000933896
32,AL FURJAN,landmark,Dubai Parks and Resorts,18.99111998692725
33,AL FURJAN,landmark,Jabel Ali,2.159190597403445
34,AL FURJAN,mall,Mall of the Emirates,11.196519274407295
35,AL FURJAN,mall,Marina Mall,5.384515837222134
36,AL FURJAN,mall,Ibn-e-Battuta Mall,3.580408459681698
37,AL FURJAN,mall,City Centre Mirdif,33.01958017675084
38,AL FURJAN,mall,Dubai Mall,22.490893752079945
39,AL FURJAN,extreme,north,42.763386745076744
40,AL FURJAN,extreme,south,23.317601761012
41,AL FURJAN,extreme,east,57.37832372639558
42,AL FURJAN,extreme,west,20.289245576881573
43,AL FURJAN,extreme,center,30.505666378236423
44,AL KHAIL HEIGHTS,landmark,IMG World Adventures,10.51418858350132
45,AL KHAIL HEIGHTS,landmark,Dubai International Airport,15.544247295445205
46,AL KHAIL HEIGHTS,landmark,Downtown Dubai,4.972221753887568
47,AL KHAIL HEIGHTS,landmark,Motor City,12.128503751099267
48,AL KHAIL HEIGHTS,landmark,Burj Al Arab,7.061189067725309
49,AL KHAIL HEIGHTS,landmark,Burj Khalifa,5.019337991658609
50,AL KHAIL HEIGHTS,landmark,Hamdan Sports Complex,13.332578466204641
51,AL KHAIL HEIGHTS,landmark,Global Village,11.06563222597204
52,AL KHAIL HEIGHTS,landmark,Expo 2020 Site,23.115176549036107
53,AL KHAIL HEIGHTS,landmark,Al Makhtoum International Airport,31.480353164806484
54,AL KHAIL HEIGHTS,landmark,Dubai Parks and Resorts,36.02701815952895
55,AL KHAIL HEIGHTS,landmark,Jabel Ali,19.43418312084639
56,AL KHAIL HEIGHTS,mall,Mall of the Emirates,6.601045588964334
57,AL KHAIL HEIGHTS,mall,Marina Mall,14.372556723025992
58,AL KHAIL HEIGHTS,mall,Ibn-e-Battuta Mall,18.25835596467425
59,AL KHAIL HEIGHTS,mall,City Centre Mirdif,16.88562758527018
60,AL KHAIL HEIGHTS,mall,Dubai Mall,5.2378290147524655
61,AL KHAIL HEIGHTS,extreme,north,27.19661580913002
62,AL KHAIL HEIGHTS,extreme,south,34.0498020486659
63,AL KHAIL HEIGHTS,extreme,east,40.97569464335332
64,AL KHAIL HEIGHTS,extreme,west,25.542224178100238
65,AL KHAIL HEIGHTS,extreme,center,13.519922456359893
66,ARABIAN RANCHES I,landmark,IMG World Adventures,6.478113265139057
67,ARABIAN RANCHES I,landmark,Dubai International Airport,24.689373769199783
68,ARABIAN RANCHES I,landmark,Downtown Dubai,16.271386789381815
69,ARABIAN RANCHES I,landmark,Motor City,2.931716919127285
70,ARABIAN RANCHES I,landmark,Burj Al Arab,13.18971461407058
71,ARABIAN RANCHES I,landmark,Burj Khalifa,16.502626221720263
72,ARABIAN RANCHES I,landmark,Hamdan Sports Complex,5.12355737972645
73,ARABIAN RANCHES I,landmark,Global Village,4.562113360013994
74,ARABIAN RANCHES I,landmark,Expo 2020 Site,14.2738199308105
75,ARABIAN RANCHES I,landmark,Al Makhtoum International Airport,21.133298295193597
76,ARABIAN RANCHES I,landmark,Dubai Parks and Resorts,29.74579082629566
77,ARABIAN RANCHES I,landmark,Jabel Ali,13.535727942986043
78,ARABIAN RANCHES I,mall,Mall of the Emirates,10.498337345403563
79,ARABIAN RANCHES I,mall,Marina Mall,13.211742419351715
80,ARABIAN RANCHES I,mall,Ibn-e-Battuta Mall,14.813710723096312
81,ARABIAN RANCHES I,mall,City Centre Mirdif,23.443630057827434
82,ARABIAN RANCHES I,mall,Dubai Mall,16.531144016565026
83,ARABIAN RANCHES I,extreme,north,39.058020235529106
84,ARABIAN RANCHES I,extreme,south,22.101832418703488
85,ARABIAN RANCHES I,extreme,east,47.356532812327366
86,ARABIAN RANCHES I,extreme,west,29.17445217324203
87,ARABIAN RANCHES I,extreme,center,24.821039768209882
88,ARABIAN RANCHES II,landmark,IMG World Adventures,7.1042465877012315
89,ARABIAN RANCHES II,landmark,Dubai International Airport,25.93530934136425
90,ARABIAN RANCHES II,landmark,Downtown Dubai,17.837724544899864
91,ARABIAN RANCHES II,landmark,Motor City,3.8343106962684375
92,ARABIAN RANCHES II,landmark,Burj Al Arab,14.825209586974273
93,ARABIAN RANCHES II,landmark,Burj Khalifa,18.08456313141825
94,ARABIAN RANCHES II,landmark,Hamdan Sports Complex,4.8760777744400094
95,ARABIAN RANCHES II,landmark,Global Village,5.097609108362384
96,ARABIAN RANCHES II,landmark,Expo 2020 Site,13.818881738710603
97,ARABIAN RANCHES II,landmark,Al Makhtoum International Airport,20.128088860406297
98,ARABIAN RANCHES II,landmark,Dubai Parks and Resorts,29.559961030008065
99,ARABIAN RANCHES II,landmark,Jabel Ali,13.799154982465726
100,ARABIAN RANCHES II,mall,Mall of the Emirates,12.126215280220109
101,ARABIAN RANCHES II,mall,Marina Mall,14.259381596586692
102,ARABIAN RANCHES II,mall,Ibn-e-Battuta Mall,15.457797587736822
103,ARABIAN RANCHES II,mall,City Centre Mirdif,24.398149636878568
104,ARABIAN RANCHES II,mall,Dubai Mall,18.09439895439594
105,ARABIAN RANCHES II,extreme,north,40.65459385995129
106,ARABIAN RANCHES II,extreme,south,20.5067393683411
107,ARABIAN RANCHES II,extreme,east,48.082609047290205
108,ARABIAN RANCHES II,extreme,west,30.378122917624093
109,ARABIAN RANCHES II,extreme,center,26.335065455649538
110,ARABIAN RANCHES III,landmark,IMG World Adventures,3.502990586679978
111,ARABIAN RANCHES III,landmark,Dubai International Airport,22.862472718240472
112,ARABIAN RANCHES III,landmark,Downtown Dubai,16.475217934222403
113,ARABIAN RANCHES III,landmark,Motor City,8.055163981032809
114,ARABIAN RANCHES III,landmark,Burj Al Arab,16.709208307583935
115,ARABIAN RANCHES III,landmark,Burj Khalifa,16.820287329035935
116,ARABIAN RANCHES III,landmark,Hamdan Sports Complex,4.485499219929568e-12
117,ARABIAN RANCHES III,landmark,Global Village,2.2672839995472445
118,ARABIAN RANCHES III,landmark,Expo 2020 Site,18.634116372030416
119,ARABIAN RANCHES III,landmark,Al Makhtoum International Airport,24.37860118932907
120,ARABIAN RANCHES III,landmark,Dubai Parks and Resorts,34.430000698911314
121,ARABIAN RANCHES III,landmark,Jabel Ali,18.569142432674163
122,ARABIAN RANCHES III,mall,Mall of the Emirates,14.181740258235193
123,ARABIAN RANCHES III,mall,Marina Mall,18.17298698423831
124,ARABIAN RANCHES III,mall,Ibn-e-Battuta Mall,19.93646092468912
125,ARABIAN RANCHES III,mall,City Centre Mirdif,20.544767350430114
126,ARABIAN RANCHES III,mall,Dubai Mall,16.700354634657575
127,ARABIAN RANCHES III,extreme,north,39.09703663552307
128,ARABIAN RANCHES III,extreme,south,22.879968281646345
129,ARABIAN RANCHES III,extreme,east,43.69451155400408
130,ARABIAN RANCHES III,extreme,west,33.864814742972094
131,ARABIAN RANCHES III,extreme,center,24.409304291485622
132,ARABIAN RANCHES POLO CLUB,landmark,IMG World Adventures,8.307377670980209
133,ARABIAN RANCHES POLO CLUB,landmark,Dubai International Airport,26.392743461221716
134,ARABIAN RANCHES POLO CLUB,landmark,Downtown Dubai,17.66336083116069
135,ARABIAN RANCHES POLO CLUB,landmark,Motor City,1.9548858940893408
136,ARABIAN RANCHES POLO CLUB,landmark,Burj Al Arab,13.460071872235599
137,ARABIAN RANCHES POLO CLUB,landmark,Burj Khalifa,17.864753108880716
138,ARABIAN RANCHES POLO CLUB,landmark,Hamdan Sports Complex,6.637083983106614
139,ARABIAN RANCHES POLO CLUB,landmark,Global Village,6.365227712041431
140,ARABIAN RANCHES POLO CLUB,landmark,Expo 2020 Site,12.435661865349372
141,ARABIAN RANCHES POLO CLUB,landmark,Al Makhtoum International Airport,19.36562398074796
142,ARABIAN RANCHES POLO CLUB,landmark,Dubai Parks and Resorts,27.965481777565063
143,ARABIAN RANCHES POLO CLUB,landmark,Jabel Ali,11.934180778713667
144,ARABIAN RANCHES POLO CLUB,mall,Mall of the Emirates,10.763070456188679
145,ARABIAN RANCHES POLO CLUB,mall,Marina Mall,12.313615768310688
146,ARABIAN RANCHES POLO CLUB,mall,Ibn-e-Battuta Mall,13.487826815614964
147,ARABIAN RANCHES POLO CLUB,mall,City Centre Mirdif,25.260120397133495
148,ARABIAN RANCHES POLO CLUB,mall,Dubai Mall,17.927550057962975
149,ARABIAN RANCHES POLO CLUB,extreme,north,40.34999370475141
150,ARABIAN RANCHES POLO CLUB,extreme,south,20.902212050921975
151,ARABIAN RANCHES POLO CLUB,extreme,east,49.197722965291895
152,ARABIAN RANCHES POLO CLUB,extreme,west,28.472990000205126
153,ARABIAN RANCHES POLO CLUB,extreme,center,26.27432151250957
154,ARJAN,landmark,IMG World Adventures,8.865355670336095
155,ARJAN,landmark,Dubai International Airport,25.324200690417232
156,ARJAN,landmark,Downtown Dubai,15.90620576602073
157,ARJAN,landmark,Motor City,1.0273389864338784
158,ARJAN,landmark,Burj Al Arab,10.711483968936212
159,ARJAN,landmark,Burj Khalifa,16.05222303659104
160,ARJAN,landmark,Hamdan Sports Complex,8.255061370729106
161,ARJAN,landmark,Global Village,7.2207718265093055
162,ARJAN,landmark,Expo 2020 Site,12.729905549161252
163,ARJAN,landmark,Al Makhtoum International Airport,20.524062669757235
164,ARJAN,landmark,Dubai Parks and Resorts,27.53980665539248
165,ARJAN,landmark,Jabel Ali,10.907729960900607
166,ARJAN,mall,Mall of the Emirates,8.025481124242393
167,ARJAN,mall,Marina Mall,9.974653127967583
168,ARJAN,mall,Ibn-e-Battuta Mall,11.76983083023543
169,ARJAN,mall,City Centre Mirdif,24.783435271771015
170,ARJAN,mall,Dubai Mall,16.17508244836768
171,ARJAN,extreme,north,38.3140766008733
172,ARJAN,extreme,south,23.241277051963028
173,ARJAN,extreme,east,49.004719666746546
174,ARJAN,extreme,west,25.960271037489047
175,ARJAN,extreme,center,24.558654398605757
176,Abu Hail,landmark,IMG World Adventures,22.64322557980703
177,Abu Hail,landmark,Dubai International Airport,5.2858300012900585
178,Abu Hail,landmark,Downtown Dubai,11.362685727897919
179,Abu Hail,landmark,Motor City,28.028490730304743
180,Abu Hail,landmark,Burj Al Arab,21.614880187246673
181,Abu Hail,landmark,Burj Khalifa,11.323872435906962
182,Abu Hail,landmark,Hamdan Sports Complex,26.146184190164227
183,Abu Hail,landmark,Global Village,24.261460600395026
184,Abu Hail,landmark,Expo 2020 Site,39.43289901724141
185,Abu Hail,landmark,Al Makhtoum International Airport,47.65164445569271
186,Abu Hail,landmark,Dubai Parks and Resorts,51.935233646055906
187,Abu Hail,landmark,Jabel Ali,35.64716045717506
188,Abu Hail,mall,Mall of the Emirates,22.42398808297227
189,Abu Hail,mall,Marina Mall,29.966525208546205
190,Abu Hail,mall,Ibn-e-Battuta Mall,34.07479407793375
191,Abu Hail,mall,City Centre Mirdif,10.96737020255123
192,Abu Hail,mall,Dubai Mall,11.095324363136118
193,Abu Hail,extreme,north,13.985690555579497
194,Abu Hail,extreme,south,48.84534463138749
195,Abu Hail,extreme,east,28.16600072496386
196,Abu Hail,extreme,west,36.37671628452673
197,Abu Hail,extreme,center,3.40587953985235
198,Al Bada,landmark,IMG World Adventures,13.528514912801883
199,Al Bada,landmark,Dubai International Airport,11.063499823693387
200,Al Bada,landmark,Downtown Dubai,0.4691152595425402
201,Al Bada,landmark,Motor City,16.995496054596746
202,Al Bada,landmark,Burj Al Arab,10.868192816680175
203,Al Bada,landmark,Burj Khalifa,1.9200619715002115e-12
204,Al Bada,landmark,Hamdan Sports Complex,16.82028732903762
205,Al Bada,landmark,Global Village,14.639051266158171
206,Al Bada,landmark,Expo 2020 Site,28.13441489677493
207,Al Bada,landmark,Al Makhtoum International Airport,36.471918148149925
208,Al Bada,landmark,Dubai Parks and Resorts,40.80300930373493
209,Al Bada,landmark,Jabel Ali,24.355594160750165
210,Al Bada,mall,Mall of the Emirates,11.229357152454064
211,Al Bada,mall,Marina Mall,18.933147833438476
212,Al Bada,mall,Ibn-e-Battuta Mall,22.957381207725874
213,Al Bada,mall,City Centre Mirdif,13.569439016752753
214,Al Bada,mall,Dubai Mall,0.4848316790925596
215,Al Bada,extreme,north,22.57265815087697
216,Al Bada,extreme,south,38.590622540981144
217,Al Bada,extreme,east,36.91805173665125
218,Al Bada,extreme,west,28.078462690980835
219,Al Bada,extreme,center,8.520461368427235
220,Al Baraha,landmark,IMG World Adventures,22.063839021613937
221,Al Baraha,landmark,Dubai International Airport,5.645496545354725
222,Al Baraha,landmark,Downtown Dubai,10.4561807737916
223,Al Baraha,landmark,Motor City,27.201827283319894
224,Al Baraha,landmark,Burj Al Arab,20.573052683209173
225,Al Baraha,landmark,Burj Khalifa,10.391978997533606
226,Al Baraha,landmark,Hamdan Sports Complex,25.56361927881916
227,Al Baraha,landmark,Global Village,23.634029182186104
228,Al Baraha,landmark,Expo 2020 Site,38.523718505803316
229,Al Baraha,landmark,Al Makhtoum International Airport,46.79558642373272
230,Al Baraha,landmark,Dubai Parks and Resorts,50.913945719378326
231,Al Baraha,landmark,Jabel Ali,34.67189771245303
232,Al Baraha,mall,Mall of the Emirates,21.42928042494229
233,Al Baraha,mall,Marina Mall,28.93987398699004
234,Al Baraha,mall,Ibn-e-Battuta Mall,33.05692376459059
235,Al Baraha,mall,City Centre Mirdif,11.300779858822589
236,Al Baraha,mall,Dubai Mall,10.187296026932952
237,Al Baraha,extreme,north,14.138483053323911
238,Al Baraha,extreme,south,48.18264011817846
239,Al Baraha,extreme,east,29.218026463579896
240,Al Baraha,extreme,west,35.29002707805581
241,Al Baraha,extreme,center,2.31244662829498
242,Al Barsha First,landmark,IMG World Adventures,12.5069180101066
243,Al Barsha First,landmark,Dubai International Airport,23.30879234616012
244,Al Barsha First,landmark,Downtown Dubai,12.616386455014503
245,Al Barsha First,landmark,Motor City,7.725750699437791
246,Al Barsha First,landmark,Burj Al Arab,4.0252836745590095
247,Al Barsha First,landmark,Burj Khalifa,12.569470232330731
248,Al Barsha First,landmark,Hamdan Sports Complex,13.562880361180378
249,Al Barsha First,landmark,Global Village,11.717798617537813
250,Al Barsha First,landmark,Expo 2020 Site,16.11839983271538
251,Al Barsha First,landmark,Al Makhtoum International Airport,24.895680717450247
252,Al Barsha First,landmark,Dubai Parks and Resorts,28.27105301716172
253,Al Barsha First,landmark,Jabel Ali,11.821714685076577
254,Al Barsha First,mall,Mall of the Emirates,1.5795102370022711
255,Al Barsha First,mall,Marina Mall,6.733592628045476
256,Al Barsha First,mall,Ibn-e-Battuta Mall,10.49898038874152
257,Al Barsha First,mall,City Centre Mirdif,24.316503236360226
258,Al Barsha First,mall,Dubai Mall,12.870059584911655
259,Al Barsha First,extreme,north,33.35286284357961
260,Al Barsha First,extreme,south,29.485020017753744
261,Al Barsha First,extreme,east,48.58824217407375
262,Al Barsha First,extreme,west,20.540203030232824
263,Al Barsha First,extreme,center,20.795380671146955
264,Al Barsha Second,landmark,IMG World Adventures,15.015031516066703
265,Al Barsha Second,landmark,Dubai International Airport,21.930711208330074
266,Al Barsha Second,landmark,Downtown Dubai,11.05720714004042
267,Al Barsha Second,landmark,Motor City,11.691531997395881
268,Al Barsha Second,landmark,Burj Al Arab,4.482191925415345e-12
269,Al Barsha Second,landmark,Burj Khalifa,10.868192816685434
270,Al Barsha Second,landmark,Hamdan Sports Complex,16.70920830759111
271,Al Barsha Second,landmark,Global Village,14.650380666183324
272,Al Barsha Second,landmark,Expo 2020 Site,19.597370967616474
273,Al Barsha Second,landmark,Al Makhtoum International Airport,28.503463104145293
274,Al Barsha Second,landmark,Dubai Parks and Resorts,30.388637499773196
275,Al Barsha Second,landmark,Jabel Ali,14.728764785920292
276,Al Barsha Second,mall,Mall of the Emirates,2.702373369823937
277,Al Barsha Second,mall,Marina Mall,8.427211535022384
278,Al Barsha Second,mall,Ibn-e-Battuta Mall,12.592995938469581
279,Al Barsha Second,mall,City Centre Mirdif,23.860076810806532
280,Al Barsha Second,mall,Dubai Mall,11.270685300050024
281,Al Barsha Second,extreme,north,29.99480821291098
282,Al Barsha Second,extreme,south,33.497400088500754
283,Al Barsha Second,extreme,east,47.719545235652284
284,Al Barsha Second,extreme,west,18.686384686231477
285,Al Barsha Second,extreme,center,18.375309448727435
286,Al Barsha Third,landmark,IMG World Adventures,15.015031516066703
287,Al Barsha Third,landmark,Dubai International Airport,21.930711208330074
288,Al Barsha Third,landmark,Downtown Dubai,11.05720714004042
289,Al Barsha Third,landmark,Motor City,11.691531997395881
290,Al Barsha Third,landmark,Burj Al Arab,4.482191925415345e-12
291,Al Barsha Third,landmark,Burj Khalifa,10.868192816685434
292,Al Barsha Third,landmark,Hamdan Sports Complex,16.70920830759111
293,Al Barsha Third,landmark,Global Village,14.650380666183324
294,Al Barsha Third,landmark,Expo 2020 Site,19.597370967616474
295,Al Barsha Third,landmark,Al Makhtoum International Airport,28.503463104145293
296,Al Barsha Third,landmark,Dubai Parks and Resorts,30.388637499773196
297,Al Barsha Third,landmark,Jabel Ali,14.728764785920292
298,Al Barsha Third,mall,Mall of the Emirates,2.702373369823937
299,Al Barsha Third,mall,Marina Mall,8.427211535022384
300,Al Barsha Third,mall,Ibn-e-Battuta Mall,12.592995938469581
301,Al Barsha Third,mall,City Centre Mirdif,23.860076810806532
302,Al Barsha Third,mall,Dubai Mall,11.270685300050024
303,Al Barsha Third,extreme,north,29.99480821291098
304,Al Barsha Third,extreme,south,33.497400088500754
305,Al Barsha Third,extreme,east,47.719545235652284
306,Al Barsha Third,extreme,west,18.686384686231477
307,Al Barsha Third,extreme,center,18.375309448727435
308,Al Barshaa South First,landmark,IMG World Adventures,9.039098645915884
309,Al Barshaa South First,landmark,Dubai International Airport,26.456177520443852
310,Al Barshaa South First,landmark,Downtown Dubai,17.336417984223228
311,Al Barshaa South First,landmark,Motor City,0.6861044949222573
312,Al Barshaa South First,landmark,Burj Al Arab,12.37649326903992
313,Al Barshaa South First,landmark,Burj Khalifa,17.50568566327913
314,Al Barshaa South First,landmark,Hamdan Sports Complex,7.7596047500961385
315,Al Barshaa South First,landmark,Global Village,7.190489680445068
316,Al Barshaa South First,landmark,Expo 2020 Site,11.884463012757147
317,Al Barshaa South First,landmark,Al Makhtoum International Airport,19.27771176912027
318,Al Barshaa South First,landmark,Dubai Parks and Resorts,27.148235418009648
319,Al Barshaa South First,landmark,Jabel Ali,10.85832495532643
320,Al Barshaa South First,mall,Mall of the Emirates,9.698746750720444
321,Al Barshaa South First,mall,Marina Mall,10.959672776529365
322,Al Barshaa South First,mall,Ibn-e-Battuta Mall,12.227802592362877
323,Al Barshaa South First,mall,City Centre Mirdif,25.61274923555149
324,Al Barshaa South First,mall,Dubai Mall,17.60386946147495
325,Al Barshaa South First,extreme,north,39.868591994556056
326,Al Barshaa South First,extreme,south,21.58064211082019
327,Al Barshaa South First,extreme,east,49.699286829762165
328,Al Barshaa South First,extreme,west,27.118381735856996
329,Al Barshaa South First,extreme,center,25.983342512422887
330,Al Barshaa South Second,landmark,IMG World Adventures,9.039098645915884
331,Al Barshaa South Second,landmark,Dubai International Airport,26.456177520443852
332,Al Barshaa South Second,landmark,Downtown Dubai,17.336417984223228
333,Al Barshaa South Second,landmark,Motor City,0.6861044949222573
334,Al Barshaa South Second,landmark,Burj Al Arab,12.37649326903992
335,Al Barshaa South Second,landmark,Burj Khalifa,17.50568566327913
336,Al Barshaa South Second,landmark,Hamdan Sports Complex,7.7596047500961385
337,Al Barshaa South Second,landmark,Global Village,7.190489680445068
338,Al Barshaa South Second,landmark,Expo 2020 Site,11.884463012757147
339,Al Barshaa South Second,landmark,Al Makhtoum International Airport,19.27771176912027
340,Al Barshaa South Second,landmark,Dubai Parks and Resorts,27.148235418009648
341,Al Barshaa South Second,landmark,Jabel Ali,10.85832495532643
342,Al Barshaa South Second,mall,Mall of the Emirates,9.698746750720444
343,Al Barshaa South Second,mall,Marina Mall,10.959672776529365
344,Al Barshaa South Second,mall,Ibn-e-Battuta Mall,12.227802592362877
345,Al Barshaa South Second,mall,City Centre Mirdif,25.61274923555149
346,Al Barshaa South Second,mall,Dubai Mall,17.60386946147495
347,Al Barshaa South Second,extreme,north,39.868591994556056
348,Al Barshaa South Second,extreme,south,21.58064211082019
349,Al Barshaa South Second,extreme,east,49.699286829762165
350,Al Barshaa South Second,extreme,west,27.118381735856996
351,Al Barshaa South Second,extreme,center,25.983342512422887
352,Al Barshaa South Third,landmark,IMG World Adventures,9.039098645915884
353,Al Barshaa South Third,landmark,Dubai International Airport,26.456177520443852
354,Al Barshaa South Third,landmark,Downtown Dubai,17.336417984223228
355,Al Barshaa South Third,landmark,Motor City,0.6861044949222573
356,Al Barshaa South Third,landmark,Burj Al Arab,12.37649326903992
357,Al Barshaa South Third,landmark,Burj Khalifa,17.50568566327913
358,Al Barshaa South Third,landmark,Hamdan Sports Complex,7.7596047500961385
359,Al Barshaa South Third,landmark,Global Village,7.190489680445068
360,Al Barshaa South Third,landmark,Expo 2020 Site,11.884463012757147
361,Al Barshaa South Third,landmark,Al Makhtoum International Airport,19.27771176912027
362,Al Barshaa South Third,landmark,Dubai Parks and Resorts,27.148235418009648
363,Al Barshaa South Third,landmark,Jabel Ali,10.85832495532643
364,Al Barshaa South Third,mall,Mall of the Emirates,9.698746750720444
365,Al Barshaa South Third,mall,Marina Mall,10.959672776529365
366,Al Barshaa South Third,mall,Ibn-e-Battuta Mall,12.227802592362877
367,Al Barshaa South Third,mall,City Centre Mirdif,25.61274923555149
368,Al Barshaa South Third,mall,Dubai Mall,17.60386946147495
369,Al Barshaa South Third,extreme,north,39.868591994556056
370,Al Barshaa South Third,extreme,south,21.58064211082019
371,Al Barshaa South Third,extreme,east,49.699286829762165
372,Al Barshaa South Third,extreme,west,27.118381735856996
373,Al Barshaa South Third,extreme,center,25.983342512422887
374,Al Buteen,landmark,IMG World Adventures,19.67700830835967
375,Al Buteen,landmark,Dubai International Airport,4.718943363896418
376,Al Buteen,landmark,Downtown Dubai,8.321459473646286
377,Al Buteen,landmark,Motor City,24.935625907648276
378,Al Buteen,landmark,Burj Al Arab,18.836213353440037
379,Al Buteen,landmark,Burj Khalifa,8.313565005405447
380,Al Buteen,landmark,Hamdan Sports Complex,23.17681926185468
381,Al Buteen,landmark,Global Village,21.250986570104207
382,Al Buteen,landmark,Expo 2020 Site,36.37304230005065
383,Al Buteen,landmark,Al Makhtoum International Airport,44.563682527124236
384,Al Buteen,landmark,Dubai Parks and Resorts,49.054114409178226
385,Al Buteen,landmark,Jabel Ali,32.66817134978652
386,Al Buteen,mall,Mall of the Emirates,19.49570412890527
387,Al Buteen,mall,Marina Mall,27.115781699826687
388,Al Buteen,mall,Ibn-e-Battuta Mall,31.192948637500283
389,Al Buteen,mall,City Centre Mirdif,9.983144765817224
390,Al Buteen,mall,Dubai Mall,8.056641733161397
391,Al Buteen,extreme,north,16.39372694429108
392,Al Buteen,extreme,south,45.809172447217996
393,Al Buteen,extreme,east,29.937490165940638
394,Al Buteen,extreme,west,34.37487983482221
395,Al Buteen,extreme,center,2.2816707920588395
396,Al Dhagaya,landmark,IMG World Adventures,21.225813499243433
397,Al Dhagaya,landmark,Dubai International Airport,6.968075038090739
398,Al Dhagaya,landmark,Downtown Dubai,8.942935880391008
399,Al Dhagaya,landmark,Motor City,25.7807071508164
400,Al Dhagaya,landmark,Burj Al Arab,18.619791612903914
401,Al Dhagaya,landmark,Burj Khalifa,8.807709869778739
402,Al Dhagaya,landmark,Hamdan Sports Complex,24.700367045168928
403,Al Dhagaya,landmark,Global Village,22.68098292382216
404,Al Dhagaya,landmark,Expo 2020 Site,36.889344275481776
405,Al Dhagaya,landmark,Al Makhtoum International Airport,45.27790768375264
406,Al Dhagaya,landmark,Dubai Parks and Resorts,48.99807686524045
407,Al Dhagaya,landmark,Jabel Ali,32.880349171542186
408,Al Dhagaya,mall,Mall of the Emirates,19.605403077732824
409,Al Dhagaya,mall,Marina Mall,27.020111119398916
410,Al Dhagaya,mall,Ibn-e-Battuta Mall,31.157518478393875
411,Al Dhagaya,mall,City Centre Mirdif,12.384536723325468
412,Al Dhagaya,mall,Dubai Mall,8.674427967430052
