,0,1
JUMEIRAH VILLAGE CIRCLE,25.0527521,55.20576633171218
SILICON OASIS,12.868538,77.66011288679321
DUBAI MARITIME CITY,25.2548579,55.2756623
Hadaeq Sheikh Mohammed Bin Rashid,25.119016594266267,55.26187658505671
JUMEIRAH VILLAGE TRIANGLE,25.0498433,55.1907008
DUBAI CREEK HARBOUR,25.197978,55.36037960558315
DUBAI HEALTHCARE CITY - PHASE 2,25.23181945,55.32250393537943
ARJAN,33.3677581,73.2316146
Marsa Dubai,25.23116035,55.34646274347939
MEYDAN ONE,25.1725019,55.28710370781371
Madinat Dubai Almelaheyah,,
Al Wasl,25.1959326,55.2557371
Wadi Al Safa 4,25.0751088,55.3175621
SUFOUH GARDENS,25.1101377,55.1785377
TECOM SITE A,,
TOWN SQUARE,36.0673381,-115.17638146667451
Madinat Al Mataar,24.890272,55.1428455
MAJAN,41.4690623,-2.3030166
Al Kifaf,25.2346273,55.298597312379904
BUSINESS BAY,25.18942655,55.26481901527489
ARABIAN RANCHES III,,
DUBAI SPORTS CITY,25.0321379,55.219353
Palm Deira,25.2761408,55.3016752
Al Merkadh,,
SOBHA HEARTLAND,,
Al Yufrah 1,25.0029883,55.4387395
Um Suqaim Third,,
JUMEIRAH GOLF,25.0203281,55.20083862592119
DUBAI HARBOUR,25.0956188,55.13800090659106
JADDAF WATERFRONT,25.22683115,55.33808609246107
DUBAI MARINA,25.0786415,55.1352524
Al Jadaf,25.2249103,55.3337479
DUBAI STUDIO CITY,25.0415641,55.2522587
BURJ KHALIFA,25.1970336,55.27413294647308
DUBAI HILLS,25.0974142,55.2684401
JUMEIRAH LAKES TOWERS,25.07238315,55.14374317909845
MBR DISTRICT 7,34.39227490086591,47.09951387210595
DUBAI PRODUCTION CITY,25.0321324,55.19130701407138
Al Hebiah Fourth,,
AL FURJAN,25.0304736,55.1522307
DUBAI LAND RESIDENCE COMPLEX,25.0853591,55.382978
Al Aweer First,,
Business Bay,25.18942655,55.26481901527489
DUBAI WATER CANAL,25.1884394,55.2473226
LIVING LEGENDS,25.0850789,55.2981217
Jabal Ali First,,
MINA RASHID,34.44654230213969,35.82016322544735
VILLANOVA,41.9591678,8.668422
Wadi Al Safa 7,25.0352976,55.2826859
