area_en,project_name_en_count,nearest_landmark_en_count,nearest_metro_en_count,nearest_mall_en_count,master_project_en_count,latitude,longitude
AL Athbah,0,0,0,0,0,25.18604589949,55.4759797292151
AL BARARI,2,1,1,0,0,25.118865,55.3209685
AL FURJAN,63,2,2,1,1,25.0304736,55.1522307
AL KHAIL HEIGHTS,1,1,1,1,0,25.15586015,55.2536875439334
AL WAHA,1,1,0,0,0,25.0295301093711,55.2857938254829
ARABIAN RANCHES I,6,2,2,1,0,25.04875135,55.26728851815184
ARABIAN RANCHES II,11,1,0,0,0,25.03439685,55.27332788354515
ARABIAN RANCHES III,5,2,0,0,0,25.05109295,55.31808411322436
ARABIAN RANCHES POLO CLUB,1,1,0,0,0,25.03741425,55.25395447616396
ARJAN,62,1,2,1,1,25.0567785,55.23637449799419
Abu Hail,0,1,3,0,0,25.2860287,55.328865
Al Aweer First,0,0,0,0,0,25.2054385934816,55.5781058261515
Al Aweer Second,0,0,0,0,0,25.1731025161929,55.5527978628269
Al Bada,0,1,3,1,0,25.1970336,55.27413294647308
Al Baraha,0,1,2,1,0,25.2809884,55.3195255
Al Barsha First,0,1,3,1,0,25.1071127,55.1984575
Al Barsha Second,0,3,2,1,0,25.1413271,55.18539672753495
Al Barsha Third,0,2,2,1,0,25.1413271,55.18539672753495
Al Barshaa South First,0,2,2,1,0,25.0423709,55.2416609
Al Barshaa South Second,0,2,1,1,0,25.0423709,55.2416609
Al Barshaa South Third,1,2,2,1,0,25.0423709,55.2416609
Al Buteen,0,1,2,1,0,25.2595231,55.3195095
Al Dhagaya,0,1,2,1,0,25.2726408,55.3002405
Al Eyas,0,0,0,0,0,25.2113092,55.5377768
Al Garhoud,0,1,4,1,0,25.2407367,55.3520393
Al Goze First,0,1,2,1,0,25.19475815,55.27805910442858
Al Goze Fourth,0,1,1,1,0,25.19475815,55.27805910442858
Al Goze Industrial First,0,1,1,1,0,25.1413271,55.18539672753495
Al Goze Industrial Fourth,0,1,1,1,0,25.1413271,55.18539672753495
Al Goze Industrial Second,0,2,2,1,0,25.1413271,55.18539672753495
Al Goze Industrial Third,0,1,1,1,0,25.1413271,55.18539672753495
Al Goze Third,0,2,1,2,0,25.19475815,55.27805910442858
Al Hamriya,0,1,2,1,0,25.2599297,55.3031938
Al Hebiah Fifth,30,0,0,0,0,25.0039973343048,55.240770547298
Al Hebiah Fourth,11,0,0,0,0,25.0313579162379,55.2223706628322
Al Hebiah Second,0,0,0,0,0,25.0313579162379,55.2223599339962
Al Hebiah Sixth,8,0,0,0,0,25.0046774594332,55.2408996125277
Al Hebiah Third,7,0,0,0,0,25.0219224748825,55.2529680049698
Al Hudaiba,0,1,2,1,0,25.2428328,55.279212
Al Jadaf,3,0,0,0,0,25.2249103,55.3337479
Al Jafliya,0,1,1,1,0,25.216522,55.2644949
Al Karama,0,2,3,1,0,25.2482136,55.3050609
Al Khabeesi,0,1,3,2,0,25.26610755,55.327714764160746
Al Khairan First,5,1,1,1,0,25.2521287,55.365715576690505
Al Khawaneej First,0,0,1,1,0,25.2173429,55.4071287
Al Khawaneej Second,0,0,0,1,0,25.2173429,55.4071287
Al Kheeran,0,1,3,1,0,24.44418755,54.45712945710038
Al Kifaf,4,1,1,1,0,25.2346273,55.298597312379904
Al Lusaily,0,0,0,0,0,24.4330113,54.5496199
Al Mamzer,0,1,2,1,0,25.3005332,55.3596332
Al Manara,0,1,2,1,0,25.1448185,55.2144527
Al Mararr,0,1,3,1,0,25.2766379,55.3089094
Al Merkadh,5,0,0,0,0,25.169213,55.2924727
Al Mizhar First,0,1,1,1,0,25.2521287,55.365715576690505
Al Mizhar Second,0,1,1,1,0,25.2521287,55.365715576690505
Al Mizhar Third,0,1,1,1,0,25.2521287,55.365715576690505
Al Murqabat,0,1,3,1,0,25.2655388,55.3225135
Al Muteena,0,1,1,1,0,25.2700926,55.3106648
Al Nahda First,0,1,1,1,0,25.2521287,55.365715576690505
Al Nahda Second,0,1,2,1,0,25.2521287,55.365715576690505
Al Qusais First,0,1,3,1,0,25.2521287,55.365715576690505
Al Qusais Industrial Fifth,0,1,1,1,0,25.2521287,55.365715576690505
Al Qusais Industrial First,0,1,2,1,0,25.2521287,55.365715576690505
Al Qusais Industrial Fourth,1,1,2,1,0,25.2521287,55.365715576690505
Al Qusais Industrial Second,0,1,1,1,0,25.2521287,55.365715576690505
Al Qusais Industrial Third,0,1,1,1,0,25.3260017,55.4331454
Al Qusais Second,0,1,2,1,0,25.2521287,55.365715576690505
Al Raffa,0,1,3,1,0,25.2542057,55.2879667
Al Ras,0,1,1,1,0,25.2687742,55.2936231
Al Rashidiya,0,1,1,1,0,25.222025,55.3910064
Al Rega,0,1,2,1,0,25.2521287,55.365715576690505
