parking,parking_count
1,1
1,1
1,1
1,1
1,1
1  0,1
2,1
1,1
P2-73,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
G-18,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
P2-72,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
B5-40,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
,0
,0
1,1
2,1
1  0,1
1,1
1,1
1,1
1,1
1,1
2,1
2,1
B1-19,1
1,1
1,1
,0
B2-17,1
2,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
P2-42,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
B1-05,1
1,1
1,1
,0
3,1
1,1
1,1
G-32,1
2,1
2,1
,0
1,1
1,1
,0
1,1
1,1
,0
1,1
,0
1,1
1,1
1,1
,0
,0
4,1
,0
,0
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3,1
1,1
1,1
1,1
B1-110,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
,0
,0
1,1
,0
,0
B1-92,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
,0
1,1
2,1
2,1
1,1
1,1
B1-27,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
B2-102,1
1,1
2,1
,0
1,1
1,1
B3-45,1
1,1
1,1
2,1
GR B4-012,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
1,1
1,1
1,1
P1-06,1
1,1
3,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
2,1
1,1
B1-97,1
B1-37,1
1,1
1,1
1,1
1,1
,0
1,1
G-02,1
1,1
1,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
,0
,0
,0
B3-92,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
P1-10,1
1,1
1,1
1,1
,0
1,1
1,1
B2-63,1
1,1
1,1
B2-70,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,1
1,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
,0
,0
1,1
1,1
,0
B2-62,1
,0
1,1
2,1
1,1
1,1
1,1
2,1
2,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
1,1
,0
1,1
1,1
1,1
1,1
1,1
