landmark,latitude,longitude
Sports City Swimming Academy,,
IMG World Adventures,,
Dubai International Airport,25.2521287,55.365715576690505
Downtown Dubai,25.19475815,55.27805910442858
Motor City,25.047690199999998,55.23820948643042
Burj Al Arab,25.141327099999998,55.18539672753495
Dubai Cycling Course,,
Burj Khalifa,25.197033599999997,55.27413294647308
Hamdan Sports Complex,25.051092949999997,55.31808411322436
Global Village,25.0687531,55.30683291261017
Expo 2020 Site,24.966807,55.15825718982431
Al Makhtoum International Airport,,
Dubai Parks and Resorts,24.9198548,55.00868
Jabel Ali,25.01605595,55.13787589174201
